name,degrees,funds,location
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",europe
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,europe
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,europe
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",europe
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,europe
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",europe
THGM MUSE Scholarship,Bachelor,US$500 or C$630,europe
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,europe
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",europe
Becas Grisart 2022,Course,Take the courses free of charge.,europe
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,europe
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",south-africa
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,south-africa
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,south-africa
ArtUniverse,"Master, Course",Full or partial scholarship,south-africa
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",south-africa
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,south-africa
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,south-africa
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",south-africa
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,south-africa
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",south-africa
THGM MUSE Scholarship,Bachelor,US$500 or C$630,south-africa
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,south-africa
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",south-africa
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,south-africa
Project Management - Free Course From Windsor University's MBA,Course,100% free,south-africa
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",nigeria
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,nigeria
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,nigeria
ArtUniverse,"Master, Course",Full or partial scholarship,nigeria
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",nigeria
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,nigeria
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,nigeria
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",nigeria
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,nigeria
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",nigeria
THGM MUSE Scholarship,Bachelor,US$500 or C$630,nigeria
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,nigeria
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",nigeria
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,nigeria
Project Management - Free Course From Windsor University's MBA,Course,100% free,nigeria
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",pakistan
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,pakistan
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,pakistan
ArtUniverse,"Master, Course",Full or partial scholarship,pakistan
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",pakistan
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,pakistan
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,pakistan
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",pakistan
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,pakistan
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",pakistan
THGM MUSE Scholarship,Bachelor,US$500 or C$630,pakistan
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,pakistan
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",pakistan
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,pakistan
Project Management - Free Course From Windsor University's MBA,Course,100% free,pakistan
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",india
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,india
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,india
ArtUniverse,"Master, Course",Full or partial scholarship,india
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",india
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,india
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,india
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",india
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,india
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",india
THGM MUSE Scholarship,Bachelor,US$500 or C$630,india
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,india
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",india
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,india
Project Management - Free Course From Windsor University's MBA,Course,100% free,india
LSA International Student Scholarships at Regents of the University of Michigan in USA,Bachelor,"Up to $10,000",united-states
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",united-states
THGM MUSE Scholarship,Bachelor,US$500 or C$630,united-states
NLU Direct to Success Transfer Student Scholarship,Bachelor,25% Tuition Rate,united-states
Kendell College at NLU International Opportunity Scholarship,Bachelor,25% of the full-time tuition rate,united-states
NLU International Fresh Start Scholarship,Bachelor,44% tuition fee,united-states
National Louis University #YouAreWelcomeHere Scholarship,Bachelor,50% of full-time tuition,united-states
NLU Alumni Scholarship,"Master, Bachelor, Phd",15% Tuition Fee,united-states
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,united-states
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",united-states
Tiffin University International Trustee Scholarships in USA,Bachelor,"$16,000",united-states
Tiffin University International President Scholarships in USA,Bachelor,"$14,000",united-states
Graduate International Scholarships at University of Central Oklahoma,Master,"Up to $2,000 ($1,000 per year)",united-states
International Opportunity Awards at Texas A&M University,Bachelor,"$100 to $15,000 p/a",united-states
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,united-states
Global Voices Scholarships at University of East Anglia,Master,"�20,000",united-kingdom
Postgraduate International Development Scholarships for Sub Saharan African Students in UK,Master,"�8,000",united-kingdom
Goodenough Scholarships,Master,"Up to �12,000",united-kingdom
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",united-kingdom
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,united-kingdom
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,united-kingdom
Sports Science: Fully Funded Swansea / DSTL PhD: Human response to prolonged heat exposure,Phd,Full cost of UK tuition fees and an annual stipend,united-kingdom
Medicine: Fully Funded Swansea & HMRI PhD Scholarship: Ovarian Cancer Chemoresistance,Phd,Full cost of tuition fees and an annual stipend,united-kingdom
Nanotechnology: Fully Funded Swansea University and European Commission PhD,Phd,Full cost of UK tuition fees and an annual stipend,united-kingdom
Materials Engineering: Fully Funded Swansea University and CISM PhD: Advanced Dielectrics,Phd,Full cost of UK tuition fees and an annual stipend,united-kingdom
Sanctuary Scholarship,"Master, Bachelor, Phd","Full-fee and �10,000 a year towards study costs",united-kingdom
Dean's International Excellence Scholarship,Master,Full-fee,united-kingdom
Dean's UK Excellence Scholarship,Master,100% of fees,united-kingdom
Masters Excellence Scholarship,Master,50% of fees,united-kingdom
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",united-kingdom
Project Management - Free Course From Windsor University's MBA,Course,100% free,canada
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",canada
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",canada
John and Lena Graham Commonwealth Bursary at Dalhousie University,"Phd, Master","At least $2,000",canada
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,canada
Excellence Scholarships for African Students Studying in English,Bachelor,"$17,500 - $25,000 tuition fee reduction",canada
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,canada
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",canada
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,canada
Brock University Emerging Market Entrance International Awards,Bachelor,"$2,500",canada
UBC International Talent Scholarships in Canada,Master,"$10,000 - $30,000",canada
P.E.O. International Scholar Awards,Phd,"$20,000",canada
Ted Rogers School Graduate Entrance Scholarships for International Students at Ryerson University,Master,"$20,000",canada
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",canada
Entrance international awards at LaSalle College Vancouver,"Master, Bachelor","Up to $10,000",canada
Project Management - Free Course From Windsor University's MBA,Course,100% free,europe
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",europe
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",europe
Anonymous Hope Fund,"Master, Bachelor, Phd, Course",$3000,europe
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,europe
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,europe
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",europe
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,europe
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",europe
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",europe
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,europe
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",europe
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",europe
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,europe
KDS Competition Scholarship 2021,"Master, Bachelor","Up to $1,500",europe
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",south-africa
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",south-africa
Anonymous Hope Fund,"Master, Bachelor, Phd, Course",$3000,south-africa
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,south-africa
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,south-africa
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",south-africa
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,south-africa
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",south-africa
UFIC Diane Fisher Awards for International Students in USA,Bachelor,,south-africa
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",south-africa
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,south-africa
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",south-africa
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",south-africa
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,south-africa
Thomas A Plein Endowed funding for International Students at University of Queensland,Bachelor,,south-africa
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",nigeria
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",nigeria
Anonymous Hope Fund,"Master, Bachelor, Phd, Course",$3000,nigeria
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,nigeria
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,nigeria
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",nigeria
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,nigeria
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",nigeria
UFIC Diane Fisher Awards for International Students in USA,Bachelor,,nigeria
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",nigeria
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,nigeria
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",nigeria
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",nigeria
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,nigeria
Thomas A Plein Endowed funding for International Students at University of Queensland,Bachelor,,nigeria
PEEF Scholarships,"Master, Bachelor, Phd, Course",Tuition fees and basic expenses,pakistan
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",pakistan
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",pakistan
Anonymous Hope Fund,"Master, Bachelor, Phd, Course",$3000,pakistan
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,pakistan
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,pakistan
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",pakistan
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,pakistan
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",pakistan
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",pakistan
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,pakistan
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",pakistan
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",pakistan
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,pakistan
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",pakistan
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",india
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",india
Anonymous Hope Fund,"Master, Bachelor, Phd, Course",$3000,india
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,india
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,india
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",india
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,india
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",india
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",india
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,india
50% scholarship for students based in India - University of Essex Online,"Master, Bachelor, Course",50% scholarship for all courses,india
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",india
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",india
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,india
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",india
CalArts Merit Scholarships for International Students in USA,"Bachelor, Master","$10,000 p.a.",united-states
International Merit-Based Scholarships at Valparaiso University,Bachelor,Financial aid,united-states
Project Management - Free Course From Windsor University's MBA,Course,100% free,united-states
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",united-states
E-waste Scholarship,"Master, Bachelor, Phd","$1,000",united-states
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",united-states
Orangesoft Women in Technology Scholarship Program,"Master, Bachelor","$1,000",united-states
International Graduate Scholarships in USA,Master,"Up to $2,000",united-states
LCBAS and Applied Sciences International Merit Awards in USA,"Bachelor, Master","$1,500",united-states
International Student Scholarships at Castleton University,Bachelor,"Up to $2,500 p.a.",united-states
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,united-states
Assisi Academic Scholarships for International Students at Marian University,Bachelor,"$8,000",united-states
International Scholarships at Lake Region State College,"Bachelor, Master",50% off tuition fees,united-states
Merit-Based Scholarships for International Students at Hartwick College,"Bachelor, Master","$15,000 - $28,000 p.a.",united-states
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,united-states
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,united-kingdom
University of Sussex International PhD Studentships in Mind and Material Culture,Phd,"Tuition fee, �15,609 p.a. + �2,000 research grant",united-kingdom
University of East Anglia Nigeria Awards in UK,Master,"Up to �5,000",united-kingdom
International Women in Business Scholarships at Queen Mary University of London,Bachelor,"�4,000",united-kingdom
Dean�s International Bursary in Faculty of Arts,Bachelor,"�1,000 p.a. for two years",united-kingdom
Lancashire School of Business and Enterprise PhD Studentships in UK,Phd,"Tuition fees + �15,609 p.a.",united-kingdom
Kolade Scholarships for International Students at University of Exeter Business School,Master,"�12,500",united-kingdom
Global Excellence Scholarships at Queen Mary University of London,Master,"�2,000",united-kingdom
Niloufar Ebrahim Scholarships for International Students at Kingston University London,Master,"Up to �11,100.",united-kingdom
University of Manchester Merit-based Master�s International Scholarships in UK,Master,"�6,000",united-kingdom
Medical Engineering: Fully Funded EPSRC PhD Scholarship: AI approaches to cell imaging data,Phd,Full cost of UK tuition fees and an annual stipend,united-kingdom
Biosciences: Fully Funded PhD Scholarship at Swansea: Seagrass Restoration,Phd,Full cost of UK tuition fees and an annual stipend,united-kingdom
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",united-kingdom
THGM MUSE Scholarship,Bachelor,US$500 or C$630,united-kingdom
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,united-kingdom
Silver Anniversary Recruitment Graduate International Fellowships in Canada,Phd,"$20,000",canada
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",canada
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,canada
Mehran Bibi Sheikh Memorial Entrance Scholarships for International Students at Queen�s University,Bachelor,"$1,500",canada
Engineering International Student Entrance Scholarships at University of Waterloo,Bachelor,"$10,000",canada
Caribbean Scholarships at Niagara College,Bachelor,"$2,000",canada
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",canada
University of Waterloo Graduate international awards in Canada,"Master, Phd","Up to $3,000",canada
Regional Graduate Program Entrance Scholarships for International Students at Conestoga College,Master,"$1,500",canada
HEC Montr�al MSc Entrance international awards in Canada,Master,"$5,000",canada
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",canada
English Proficiency Entrance Scholarships for International Students at Durham College,Bachelor,"Up to $1,500",canada
B.C. Access Grants in Canada,Bachelor,"Up to $4,000 p.a.",canada
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,canada
Differential Tuition Fee Exemption international awards at University of Ottawa,"Master, Bachelor",Variable,canada
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",europe
FindDataLab Research Grant Programme in USA and EU,"Bachelor, Master, Phd, Course","Up to $1,000 towards web scraping serivces",europe
Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Bachelor,"$10,000",europe
IU International University of Applied Sciences Online Scholarships for International Students in Germany,"Master, Bachelor",Up to 85% of tuition fee,europe
Scholarship for Online Learner at IU International University of Applied Sciences � Online,"Master, Bachelor",Up to � 13.000,europe
Scholarship for Academics at IU International University of Applied Sciences � Online,"Master, Bachelor",up to �13.000,europe
Scholarship for Future Entrepreneur at IU International University of Applied Sciences - Online,"Master, Bachelor",not specified,europe
Scholarship for STEM/MINT Professionals at IU International University of Applied Sciences - Online,"Master, Bachelor",Up to �13.000,europe
Scholarship for Women in Leadership and Management at IU International University of Applied Sciences - Online,"Master, Bachelor",Up to �13.000,europe
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,Phd,"�15,009",europe
Marine Stewardship Council scholarship research program ,"Bachelor, Master, Phd, Course",Up to �4000,europe
WCC scholarships programme (World Council of Churches),"Bachelor, Master, Phd",Fully Funded,europe
IPRA Foundation Peace Research Grants Program,Phd,Fully Funded,europe
Mawista Scholarship for Students Studying Abroad with a Child,"Bachelor, Master",Fully Funded,europe
ROTARY GLOBAL GRANTS,"Master, Phd",Fully Funded,europe
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",south-africa
Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Bachelor,"$10,000",south-africa
IU International University of Applied Sciences Online Scholarships for International Students in Germany,"Master, Bachelor",Up to 85% of tuition fee,south-africa
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,Phd,"�15,009",south-africa
Marine Stewardship Council scholarship research program ,"Bachelor, Master, Phd, Course",Up to �4000,south-africa
WCC scholarships programme (World Council of Churches),"Bachelor, Master, Phd",Fully Funded,south-africa
IPRA Foundation Peace Research Grants Program,Phd,Fully Funded,south-africa
Mawista Scholarship for Students Studying Abroad with a Child,"Bachelor, Master",Fully Funded,south-africa
ROTARY GLOBAL GRANTS,"Master, Phd",Fully Funded,south-africa
European Molecular Biology Short-Term Fellowships,Phd,Fully Funded,south-africa
John Dillon Fellowship - Australian Centre for International Agricultural Research (ACIAR),Phd,Fully Funded,south-africa
Institute for Current World Affairs - FELLOWSHIPS,Phd,Fully Funded,south-africa
Adobe Research Women-in-Technology Scholarship,Bachelor,Fully Funded,south-africa
International Council of Ophthalmology (ICO) - Three-Month Fellowships,Phd,Fully Funded,south-africa
The Boehringer Ingelheim Fonds awards PhD fellowships,Phd,Fully Funded,south-africa
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",nigeria
Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Bachelor,"$10,000",nigeria
IU International University of Applied Sciences Online Scholarships for International Students in Germany,"Master, Bachelor",Up to 85% of tuition fee,nigeria
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,Phd,"�15,009",nigeria
Marine Stewardship Council scholarship research program ,"Bachelor, Master, Phd, Course",Up to �4000,nigeria
WCC scholarships programme (World Council of Churches),"Bachelor, Master, Phd",Fully Funded,nigeria
IPRA Foundation Peace Research Grants Program,Phd,Fully Funded,nigeria
Mawista Scholarship for Students Studying Abroad with a Child,"Bachelor, Master",Fully Funded,nigeria
ROTARY GLOBAL GRANTS,"Master, Phd",Fully Funded,nigeria
European Molecular Biology Short-Term Fellowships,Phd,Fully Funded,nigeria
John Dillon Fellowship - Australian Centre for International Agricultural Research (ACIAR),Phd,Fully Funded,nigeria
Institute for Current World Affairs - FELLOWSHIPS,Phd,Fully Funded,nigeria
Adobe Research Women-in-Technology Scholarship,Bachelor,Fully Funded,nigeria
International Council of Ophthalmology (ICO) - Three-Month Fellowships,Phd,Fully Funded,nigeria
The Boehringer Ingelheim Fonds awards PhD fellowships,Phd,Fully Funded,nigeria
