University Name,description,Link,web_address,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,overall_score,image_url,Country
University of Canberra,"The University of Canberra  is a public research university with its main campus located in Bruce, Canberra, Australian Capital Territory. The campus is 2.5�km  from Belconnen Town Centre, and 8.7�km  from Canberra's Civic Centre.",http://www.canberra.edu.au/,https://www.timeshighereducation.com/world-university-rankings/university-canberra,25.2,31.1,99.2,38.6,86.9,54.1,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Logo_of_University_of_Canberra.png/180px-Logo_of_University_of_Canberra.png,Australia
University of Melbourne,"The University of Melbourne  is a public research university located in Melbourne, Australia. Founded in 1853, it is Australia's second oldest university and the oldest in Victoria. Its main campus is l",http://www.unimelb.edu.au/,https://www.timeshighereducation.com/world-university-rankings/university-melbourne,65.9,74.1,89.8,76.3,93.1,77.8,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/The_University_of_Melbourne_Coat_of_Arms.svg/150px-The_University_of_Melbourne_Coat_of_Arms.svg.png,Australia
University of Newcastle,University of Newcastle can refer to:,http://www.newcastle.edu.au/,https://www.timeshighereducation.com/world-university-rankings/university-newcastle,24.5,28.3,76.6,49.9,83.1,44.5,0,Australia
University of South Australia,"The University of South Australia is a public research university based in Adelaide, South Australia. Established in 1991, it is the successor of the former South Australian Institute of Technology. Its main campuses along North Terrace are adjacent",http://www.unisa.edu.au/,https://www.timeshighereducation.com/world-university-rankings/university-south-australia,31.5,39.4,65.8,82.5,89.3,46.9,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Logo_of_the_University_of_South_Australia.svg/200px-Logo_of_the_University_of_South_Australia.svg.png,Australia
University of Southern Queensland,"The University of Southern Queensland is a public research university based in Toowoomba, Queensland, Australia, the sixth largest city in the Australian state of Queensland Founded in 1967 after a successful campaign by the local Darling Downs co",http://www.usq.edu.au/,https://www.timeshighereducation.com/world-university-rankings/university-southern-queensland,19.3,19.8,54.9,37.4,72.6,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/University_of_Southern_Queensland_Coat_of_Arms.svg/150px-University_of_Southern_Queensland_Coat_of_Arms.svg.png,Australia
University of Tasmania,"The University of Tasmania  is a public research university, primarily located in Tasmania, Australia. Founded in 1890, it is Australia's fourth oldest university. Christ College, one of the university's residential colleges, first proposed",http://www.utas.edu.au/,https://www.timeshighereducation.com/world-university-rankings/university-tasmania,26,33.7,63,50.1,88.2,44.5,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/UTasLogo.png/150px-UTasLogo.png,Australia
University of Technology Sydney,"The University of Technology Sydney  is a public research university located in Sydney, New South Wales, Australia. The university was founded in its current form in 1988, though its origins as a technical institution can be traced back to the 1",http://www.uts.edu.au/,https://www.timeshighereducation.com/world-university-rankings/university-technology-sydney,33.5,42.9,75.3,50.3,96.1,54,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/University_of_Technology_Sydney_emblem.svg/110px-University_of_Technology_Sydney_emblem.svg.png,Australia
University of the Sunshine Coast,"The University of the Sunshine Coast  is a public university based on the Sunshine Coast, Queensland, Australia. After opening with 524 students in 1996 as the Sunshine Coast University College,",http://www.usc.edu.au/,https://www.timeshighereducation.com/world-university-rankings/university-sunshine-coast,17.3,23.5,46,40.3,68.6,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Logo_of_University_of_the_Sunshine_Coast.png/200px-Logo_of_University_of_the_Sunshine_Coast.png,Australia
University of Wollongong,"The University of Wollongong  is an Australian public research university located in the coastal city of Wollongong, New South Wales, approximately 80 kilometres  south of Sydney. As of 2023, the university had an enrolment of mor",http://www.uow.edu.au/,https://www.timeshighereducation.com/world-university-rankings/university-wollongong,29.9,35,75.5,55.7,93.4,50.1,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Shield_of_the_University_of_Wollongong.svg/130px-Shield_of_the_University_of_Wollongong.svg.png,Australia
Western University,Western University may refer to:,http://www.wu.edu.az/,https://www.timeshighereducation.com/world-university-rankings/western-university,40.2,35.7,76.4,59.1,80,50.1,0,Canada
American University,"American University  is a private federally chartered research university in Washington, D.C., United States. Its main campus spans 90 acres  on Ward Circle, mostly in the Spring Valley neighborhood of Northwest D.C.",http://www.aubih.ba/,https://www.timeshighereducation.com/world-university-rankings/american-university,40.9,19.5,65.7,39.1,32.3,38.8,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/American_University_Seal.svg/150px-American_University_Seal.svg.png,United States
Southeast University,"Nanking Higher Normal School 
National Southeastern University 
National Central University 
National Nanking University",http://www.seu.ac.bd/,https://www.timeshighereducation.com/world-university-rankings/southeast-university,29.6,33.4,42.7,97.3,26.9,35.3,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/Southeast_University_logo.png/150px-Southeast_University_logo.png,China (Mainland)
University of Dhaka,"The University of Dhaka , also known as Dhaka University or DU, is a public research university located in Dhaka, Bangladesh. Established in 1921, it is the oldest active university in the",http://www.du.ac.bd/,https://www.timeshighereducation.com/world-university-rankings/university-dhaka,16,8.8,16.4,36.6,40.8,10.7,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Dhaka_University_logo.svg/170px-Dhaka_University_logo.svg.png,Bangladesh
Hasselt University,"Hasselt University  is a public research university with campuses in Hasselt and Diepenbeek, Belgium. It has more than 7,500 students and 1,800 academic, administrative and technical staff . The universi",http://www.uhasselt.be/,https://www.timeshighereducation.com/world-university-rankings/hasselt-university,28.3,38.1,56.6,49.7,68.1,42.4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/UHasselt_logog.png/230px-UHasselt_logog.png,Belgium
Universit� Catholique de Louvain,UCLouvain  is Belgium's largest French-speaking university and one of the oldest in Euro,http://www.ucl.ac.be/,https://www.timeshighereducation.com/world-university-rankings/universite-catholique-de-louvain,38.8,51.5,75.7,53.7,80.5,57.2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Sedessapientiae1993.svg/130px-Sedessapientiae1993.svg.png,Belgium
Universit� Libre de Bruxelles,"The Universit� libre de Bruxelles  is a French-speaking research university in Brussels, Belgium. It has three campuses: the Solbosch campus (in the Ci",http://www.ulb.ac.be/,https://www.timeshighereducation.com/world-university-rankings/universite-libre-de-bruxelles,30.2,41.5,73.6,42.7,87,50.1,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Universit%C3%A9_libre_de_Bruxelles_seal.svg/200px-Universit%C3%A9_libre_de_Bruxelles_seal.svg.png,Belgium
Vrije Universiteit Brussel,"The Vrije Universiteit Brussel  is a Dutch and English-speaking research university in Brussels, Belgium. It has four campuses: Brussels Humani",http://www.vub.ac.be/,https://www.timeshighereducation.com/world-university-rankings/vrije-universiteit-brussel,37.4,42.3,62.7,87,75.4,50.1,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/VUB_schild2.png/220px-VUB_schild2.png,Belgium
Universidade do Estado de Santa Catarina,Santa Catarina State University  is a public state university in Brazil. It was established in 1965.,http://www.udesc.br/,https://www.timeshighereducation.com/world-university-rankings/universidade-do-estado-de-santa-catarina,18.1,9.3,19.6,34.5,16,10.7,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Marca_da_Udesc.jpg/220px-Marca_da_Udesc.jpg,Brazil
Universidade Estadual de Maring�,"The State University of Maring�  is a public university whose main campus is in Maring�, Paran�, Brazil. It was founded in 1970 and recognized in 1976 by the Federal Government of Brazil. Its academi",http://www.uem.br/,https://www.timeshighereducation.com/world-university-rankings/universidade-estadual-de-maringa,19.6,10,8.8,34.7,17.4,10.7,https://upload.wikimedia.org/wikipedia/commons/1/1c/Uem-logo2.gif,Brazil
Universidade Federal da Bahia,The Federal University of Bahia  is a public university located mainly in the city of Salvador. It is the largest university in the state of Bahia and one of Brazil's most prestigious educational insti,http://www.ufba.br/,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-da-bahia,21.8,13.7,18.7,34.4,23.9,10.7,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Bras%C3%A3o_da_UFBA.png/220px-Bras%C3%A3o_da_UFBA.png,Brazil
Universidade Federal de Santa Catarina,"The Federal University of Santa Catarina  is a public university in Florian�polis, the capital city of Santa Catarina in southern Brazil.",http://www.ufsc.br/,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-de-santa-catarina,28.4,13.1,52.6,38.7,29.4,28.3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Brasao_UFSC_vertical_extenso.svg/220px-Brasao_UFSC_vertical_extenso.svg.png,Brazil
Universidade Federal do Rio Grande do Sul,"The Federal University of Rio Grande do Sul  is a Brazilian public federal research university based in Porto Alegre, Rio Grande do Sul. UFRGS is among the largest and highest-rated uni",http://www.ufrgs.br/,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-do-rio-grande-do-sul,29.6,18.3,49.3,46.5,26.3,28.3,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Bras%C3%A3o_UFRGS.svg/145px-Bras%C3%A3o_UFRGS.svg.png,Brazil
Carleton University,"Carleton University is an English-language public research university in Ottawa, Ontario, Canada. Founded in 1942 as Carleton College, the institution originally operated as a private, non-denominational evening college to serve returning World War I",http://www.carleton.ca/,https://www.timeshighereducation.com/world-university-rankings/carleton-university,20.2,27.2,57.1,36.1,69,35.3,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Carelton_University_Coat_of_Arms.png/220px-Carelton_University_Coat_of_Arms.png,Canada
Concordia University,"Concordia University  is a public English-language research university located in Montreal, Quebec, Canada. Founded in 1974 following the merger of Loyola College and Sir George Williams University, Concordia is one o",http://www.concordia.ca/,https://www.timeshighereducation.com/world-university-rankings/concordia-university,20.9,25.9,46,36.9,82.5,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Concordia_coa.png/220px-Concordia_coa.png,Canada
Dalhousie University,"Dalhousie University  is a large public research university in Nova Scotia, Canada, with three campuses in Halifax, a fourth in Bible Hill, and a second medical school campus in Saint John, New Brunswick. Dalhousie offers over",http://www.dal.ca/,https://www.timeshighereducation.com/world-university-rankings/dalhousie-university,27.7,29.6,79.5,44.4,85.4,46.9,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Dalhousie_University_Seal.svg/150px-Dalhousie_University_Seal.svg.png,Canada
Lakehead University,"Lakehead University is a public research university with campuses in Thunder Bay and Orillia, Ontario, Canada. Lakehead University, shortened to 'Lakehead U', is non-denominational and provincially supported. It has undergraduate programs, graduate p",http://www.lakeheadu.ca/,https://www.timeshighereducation.com/world-university-rankings/lakehead-university,17.6,19.5,46.9,37.3,49.4,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/LakeheadU_Coat_of_Arms.jpg/220px-LakeheadU_Coat_of_Arms.jpg,Canada
McGill University,"McGill University  is an English-language public research University located in Montreal, Quebec, Canada. Founded in 1821 by royal charter, the university bears the name of James McGill, a Scottish merchant, whose b",http://www.mcgill.ca/,https://www.timeshighereducation.com/world-university-rankings/mcgill-university,65,71.9,84.7,42.8,90.4,74.3,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/McGill_University_CoA.svg/110px-McGill_University_CoA.svg.png,Canada
McMaster University,"McMaster University  is a public research university in Hamilton, Ontario, Canada. The main McMaster campus is on 121 hectares  of land near the residential neighbourhoods of Ainslie Wood and Westdale, adjacent to the Roya",http://www.mcmaster.ca/,https://www.timeshighereducation.com/world-university-rankings/mcmaster-university,44.5,50.1,94.8,94,82.7,65.4,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/McMasterCoA.png/150px-McMasterCoA.png,Canada
Memorial University of Newfoundland,"Memorial University, or MUN , is a public research university in the province of Newfoundland and Labrador, based in St. John's, with satellite campuses in Corner Brook, Happy Valley-Goose Bay, Saint Pierre, and Harlow, England.  Memorial Univ",http://www.ucs.mun.ca/,https://www.timeshighereducation.com/world-university-rankings/memorial-university-newfoundland,20.5,19.9,57.7,61,74.1,35.3,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Memorial_University_of_Newfoundland_CoA.svg/140px-Memorial_University_of_Newfoundland_CoA.svg.png,Canada
Simon Fraser University,"Simon Fraser University  is a public research university in British Columbia, Canada. It maintains three campuses in Greater Vancouver, respectively located in Burnaby , Surrey, and Vancouver. The 170-hectare  main Burnaby",http://www.sfu.ca/,https://www.timeshighereducation.com/world-university-rankings/simon-fraser-university,24.1,35.5,75.3,47,91.1,46.9,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Simon_Fraser_University_coat_of_arms.png/150px-Simon_Fraser_University_coat_of_arms.png,Canada
Universit� de Montr�al,"The University of Montreal  is a French-language public research university in Montreal, Quebec, Canada. The university's main campus is located  in the C",http://www.umontreal.ca/,https://www.timeshighereducation.com/world-university-rankings/universite-de-montreal,48.2,49.7,86.4,70,84.1,63.4,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/UdeM_CoA.svg/220px-UdeM_CoA.svg.png,Canada
Universit� de Sherbrooke,"The Universit� de Sherbrooke  is a French-language public research university in Sherbrooke, Quebec, Canada, with a second campus in Longueuil, a suburb on the South Shore of Montreal. It is one of two univers",http://www.usherb.ca/,https://www.timeshighereducation.com/world-university-rankings/universite-de-sherbrooke,29.6,14.5,51,38.1,58.5,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/USherbrookeCoA.svg/220px-USherbrookeCoA.svg.png,Canada
Universit� Laval,"Universit� Laval  is a public research university in Quebec City, Quebec, Canada. The university traces its roots to the S�minaire de Qu�bec, founded by Fran�ois de M",http://www.ulaval.ca/,https://www.timeshighereducation.com/world-university-rankings/universite-laval,40.1,31.8,67.6,59.6,69.2,46.9,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Ulaval_Shield.svg/220px-Ulaval_Shield.svg.png,Canada
University of Alberta,"The University of Alberta  is a public research university located in Edmonton, Alberta, Canada. It was founded in 1908 by Alexander Cameron Rutherford, the first premier of Albert",http://www.ualberta.ca/,https://www.timeshighereducation.com/world-university-rankings/university-alberta,47.9,48.8,70.3,60.5,87.5,58.2,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/University_of_Alberta_Coat_of_Arms.png/150px-University_of_Alberta_Coat_of_Arms.png,Canada
University of British Columbia,"Kelowna, British Columbia, Canada",http://www.ubc.ca/,https://www.timeshighereducation.com/world-university-rankings/university-british-columbia,61.5,73.2,92.5,43.8,94.4,76.3,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/UBC_COA.svg/110px-UBC_COA.svg.png,Canada
University of Calgary,"The University of Calgary  is a public research university located in Calgary, Alberta, Canada. The University of Calgary started in 1944 as the Calgary branch of the University of Alberta, founded in 1908, prior to being institut",http://www.ucalgary.ca/,https://www.timeshighereducation.com/world-university-rankings/university-calgary,33.9,34.2,84.7,48.1,77.2,50.1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/University_of_Calgary_coat_of_arms_without_motto_scroll.svg/150px-University_of_Calgary_coat_of_arms_without_motto_scroll.svg.png,Canada
University of Guelph,"The University of Guelph  is a comprehensive public research university in Guelph, Ontario, Canada. It was established in 1964 after the amalgamation of Ontario Agricultural College , the MacDonald Institute , and the",http://www.uoguelph.ca/,https://www.timeshighereducation.com/world-university-rankings/university-guelph,26.2,29.4,47.4,48.6,57.7,35.3,https://upload.wikimedia.org/wikipedia/en/f/f6/UofGshield.png,Canada
University of Lethbridge,"The University of Lethbridge  is a public comprehensive and research university located in Lethbridge, Alberta, Canada, with a second campus in Calgary, Alberta.",http://www.uleth.ca/,https://www.timeshighereducation.com/world-university-rankings/university-lethbridge,16.7,12.4,22.3,34.5,57.6,10.7,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/University_of_lethbridge_logo.svg/220px-University_of_lethbridge_logo.svg.png,Canada
University of Manitoba,"The University of Manitoba  is a public research university in Winnipeg, Manitoba, Canada. Founded in 1877, it is the first university of Western Canada. Both by total student enrolment and campus area, the University of Man",http://www.umanitoba.ca/,https://www.timeshighereducation.com/world-university-rankings/university-manitoba,28,30.8,69.9,36.5,53.4,42.4,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/University_of_Manitoba_coat_of_arms.jpeg/220px-University_of_Manitoba_coat_of_arms.jpeg,Canada
University of Ottawa,"The University of Ottawa , often referred to as uOttawa or U of O, is a bilingual public research university in Ottawa, Ontario, Canada. The main campus is located on 42.5 hectares  directly to the northeast of",http://www.uottawa.ca/,https://www.timeshighereducation.com/world-university-rankings/university-ottawa,41.3,42,86.2,46.5,77.7,57.9,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Uottawacoa.svg/220px-Uottawacoa.svg.png,Canada
University of Regina,"The University of Regina is a public university located in Regina, Saskatchewan, Canada. Founded in 1911 as a private denominational high school of the Methodist Church of Canada, it began an association with the University of Saskatchewan as a",http://www.uregina.ca/,https://www.timeshighereducation.com/world-university-rankings/university-regina,16.8,15.6,45.1,35.8,63,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/University_of_Regina_Coat_of_Arms.jpg/220px-University_of_Regina_Coat_of_Arms.jpg,Canada
University of Saskatchewan,"The University of Saskatchewan  is a Canadian public research university, founded on March 19, 1907, and located on the east side of the South Saskatchewan River in Saskatoon, Saskatchewan, Canada. An ""Act to establish and incorpora",http://www.usask.ca/,https://www.timeshighereducation.com/world-university-rankings/university-saskatchewan,35.9,26.9,48.1,59.2,72.6,38.8,https://upload.wikimedia.org/wikipedia/en/thumb/5/55/Uofsask_logo.svg/230px-Uofsask_logo.svg.png,Canada
University of Toronto,"The University of Toronto is a public research university in Toronto, Ontario, Canada, located on the grounds that surround Queen's Park. It was founded by royal charter in 1827 as King's College, the first institution of higher",http://www.utoronto.ca/,https://www.timeshighereducation.com/world-university-rankings/university-toronto,76.6,89.5,93.6,50.5,84.7,85.5,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Utoronto_coa.svg/220px-Utoronto_coa.svg.png,Canada
University of Victoria,"The University of Victoria  is a public research university located in the municipalities of Oak Bay and Saanich, British Columbia, Canada. Established in 1903 as Victoria College, the institution was initially an affiliated college",http://www.uvic.ca/,https://www.timeshighereducation.com/world-university-rankings/university-victoria,23.6,15.9,70.1,44.9,87.2,38.8,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/UVic_CoA.svg/170px-UVic_CoA.svg.png,Canada
